Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	gender	age	source	country
3	3	3	3	3	2	2	3	4	4	1	58	3	US
4	4	1	4	2	4	3	3	1	3	2	20	1	US
4	4	2	3	2	3	3	3	3	2	2	34	3	DK
4	4	1	4	1	3	3	2	2	1	2	34	3	DK
4	4	1	4	2	3	4	2	2	3	1	35	1	US
2	3	3	3	3	2	2	3	4	4	2	18	1	CA
4	4	1	4	1	3	3	2	3	1	2	34	3	NZ
4	3	2	4	3	2	3	3	4	4	2	28	3	CA
4	4	1	4	2	3	2	2	2	2	1	20	1	US
3	3	2	3	4	2	2	4	3	3	1	18	3	ES
4	3	4	4	4	2	1	2	4	4	1	28	1	BR
4	4	1	4	1	4	4	1	1	1	1	16	1	IE
3	3	2	3	2	3	3	2	2	2	2	52	3	US
4	4	2	3	2	3	3	3	3	2	1	17	1	US
2	3	3	2	3	2	1	4	3	4	2	51	1	CA
2	2	3	3	4	2	2	3	4	3	2	20	3	ID
3	4	1	4	1	4	4	1	1	1	2	19	1	US
4	4	1	3	2	3	4	3	2	2	1	19	1	US
4	4	1	3	1	4	4	1	1	1	2	19	1	US
3	4	1	4	1	4	4	1	2	1	2	22	1	US
4	4	1	3	1	4	4	2	1	1	2	17	1	US
4	4	1	3	1	4	4	2	1	2	2	20	1	US
4	4	1	3	1	4	4	2	2	1	2	20	1	US
3	3	2	3	3	2	3	4	4	4	2	26	3	US
3	4	2	3	2	2	3	4	3	3	2	55	3	US
4	4	1	4	1	4	4	2	2	2	2	30	3	BA
3	3	4	3	3	2	1	2	4	3	1	22	1	GB
3	4	2	4	2	3	4	1	2	2	2	18	1	PL
3	3	2	2	3	2	2	2	3	1	1	60	3	US
4	4	3	3	3	4	4	4	4	3	2	19	1	ID
4	4	1	4	2	3	3	2	1	1	1	35	1	NO
2	3	2	3	2	2	2	2	3	3	2	53	3	GB
4	4	2	3	1	4	3	3	3	2	2	19	3	CA
3	4	1	3	1	3	4	2	2	2	2	21	1	US
4	3	2	4	2	3	3	2	2	3	2	15	1	US
4	3	2	3	2	2	1	4	4	4	2	35	1	IS
3	3	3	3	3	2	2	4	4	4	1	19	1	US
3	3	2	3	2	3	3	2	2	2	1	17	1	CA
3	3	3	3	3	3	2	4	3	3	1	38	3	IE
3	3	3	2	4	1	1	3	4	4	1	32	1	US
2	1	4	1	0	3	0	4	4	4	1	22	1	NO
3	3	2	3	2	2	2	3	3	1	2	48	3	GB
4	4	1	4	1	4	4	2	2	1	2	29	3	US
3	4	1	3	1	4	4	1	1	1	1	25	1	CA
3	3	2	3	2	2	2	3	3	3	1	29	3	GB
